token,tsne_2_component_1,tsne_2_component_2,word_count
control,16.51465,62.19126,562
bipartisan,33.102474,56.351048,562
folks,44.57912,-9.763912,562
instead,56.171753,36.054317,559
possible,22.074108,56.96166,558
pretty,61.73172,-13.933156,558
col,64.20524,23.344471,555
giving,9.279982,44.169342,554
supreme,58.121178,47.306976,553
wordswithsteph,59.732388,-4.9223256,552
thehill,60.229805,-3.9509945,551
repdougcollins,37.472294,55.29063,550
pressure,53.80052,24.775194,550
place,55.182434,6.0457664,549
attention,47.251244,-9.2226095,549
passed,56.985203,52.499763,548
crewcrew,59.0836,-6.6264734,547
numbers,74.33491,21.310112,546
jeff,70.5309,29.0304,545
following,56.187607,29.849266,542
king,49.40577,23.684565,542
accused,65.047745,24.679228,540
seems,56.30803,-14.506738,539
few,65.69327,4.6042724,536
actions,16.064053,50.40638,535
listen,10.407917,52.229824,535
feel,8.375397,50.03528,534
questions,50.9163,-15.551983,534
mind,18.065641,46.34558,533
tuesday,58.488922,4.9187303,533
proceedings,62.697575,-0.029449336,532
check,43.74442,-23.017916,530
distract,47.360733,-9.121434,529
sitting,52.574764,-0.062030364,528
citizen,60.323265,3.9925776,528
hate,26.19392,43.09622,527
head,50.95707,6.9714336,525
raise,57.241478,41.912037,524
nobody,28.932022,49.71212,524
impeaching,40.718693,43.219177,523
mitchellvii,40.906437,55.559498,523
stone,60.504288,31.42596,522
able,-5.053999,50.089188,521
according,38.003574,63.69336,520
hell,27.34003,48.820374,520
drew,70.584625,29.02704,519
completely,34.994926,56.00548,519
barack,57.722145,29.79549,516
november,54.12114,2.586129,516
attempt,26.544445,56.041317,515
pay,10.211311,53.2102,515
quid,60.685337,53.28558,514
action,52.281815,25.96835,514
emails,56.922607,21.263544,514
forget,8.455862,50.333023,514
joebiden,45.234318,0.74689615,511
deep,63.407703,24.254139,511
sentedcruz,43.037064,53.459248,509
either,2.7071753,48.91243,508
sad,35.2287,50.602528,505
mike,63.864548,20.551826,504
york,70.734566,16.844934,504
follow,32.522694,36.4308,503
illegal,61.321724,27.1979,503
testified,62.41151,22.35935,503
happened,-1.342327,49.463085,500
subpoenas,58.092724,46.217564,500
van,70.58943,29.03356,500
impea,45.552876,47.242126,500
christmas,32.557922,39.181973,499
unless,3.8361292,51.18895,499
weak,29.422771,48.708282,499
forward,4.563327,49.805412,498
investigations,58.067276,24.002697,496
list,61.6198,14.057096,496
intelligence,63.21941,20.131634,495
withholding,3.6232076,60.66807,495
others,11.645988,44.671528,495
family,19.42803,46.4213,495
radical,43.110886,51.0555,494
ukrainian,57.67023,22.53116,494
imp,48.598118,1.4933392,494
refused,-2.3249962,51.13496,493
final,68.812164,8.524944,493
believes,11.00655,48.31104,493
side,42.254307,-12.399983,490
march,57.53044,5.442692,490
fbi,59.98335,26.053307,489
liar,35.62481,42.28521,489
play,7.9723063,55.551556,487
god,30.004854,40.452675,487
game,65.767685,-0.07761946,486
opinion,14.583228,49.262966,486
repvaldemings,16.84772,59.502285,486
woman,42.273533,7.6990647,485
cipollone,69.295135,11.33962,485
immediately,8.219827,57.402515,485
announced,62.625187,18.994728,485
politico,60.043144,-3.7389557,484
trumpwarroom,39.26572,55.910812,484
powers,13.814459,62.688683,484
judges,56.452427,47.314156,483
finally,30.81865,49.384945,483
past,65.30998,4.9336843,483
worth,8.397293,42.24931,481
innocent,4.8586974,43.770596,481
pompeo,63.121677,20.18857,481
historic,53.074917,39.769108,481
sign,37.808647,48.221783,480
sanders,73.47996,29.0866,479
opening,68.91762,8.902108,478
golf,61.86085,6.334129,478
al,70.51219,31.702929,478
polls,74.77881,20.166826,476
given,-1.961518,41.92798,476
realize,8.326344,48.34764,475
district,70.21738,36.313843,474
joyannreid,56.853542,-8.149983,474
johnwdean,58.808704,-8.408363,473
term,23.552393,56.099518,472
sick,42.281628,45.313736,472
worked,46.794235,51.134068,470
willing,-5.0552654,50.31646,469
warren,73.36437,29.046959,468
simple,0.04672236,43.389973,468
false,61.263447,27.056145,467
gone,-4.7197804,44.562935,466
saracarterdc,42.55609,53.36828,465
home,55.66899,7.9470835,465
worse,-23.625198,41.843468,465
friday,59.608944,4.428308,463
led,28.915735,58.339462,462
juror,62.345783,-13.530316,462
rigged,34.484047,54.464233,462
usa,69.56193,16.729052,462
thousands,57.880287,5.985256,462
review,66.15579,17.771055,461
thanks,29.067192,40.69007,461
killed,51.54179,32.106907,459
gopcoverup,29.966743,38.407322,458
message,-2.555004,49.300385,457
accountable,16.428877,56.080677,457
