token,umap_2_component_1,umap_2_component_2,word_count
alexander,-0.33548573,12.283732,739
twitter,-1.1586779,12.954366,739
information,-0.5820967,11.713097,738
therickwilson,-3.5022511,12.960809,738
wait,-0.7407591,11.23602,737
presidents,-0.9804925,11.209997,737
story,-0.9424047,12.439789,736
claim,-0.5371682,11.839963,734
tweet,-1.9667765,12.565551,733
goes,-1.2709572,10.519353,733
maybe,-2.0423412,11.750563,732
wow,-2.025943,12.996405,731
totally,-1.3145028,12.642696,726
impotus,-1.972075,12.077471,725
find,-1.0040318,10.488259,722
holding,-1.1076165,10.611126,721
thread,-1.8942695,12.354059,718
foxnews,-1.3545917,13.037059,716
moment,-1.6408658,10.68226,715
imagine,-2.086724,11.577411,710
held,-0.788377,9.727947,710
book,-0.47938693,12.2070055,708
person,-1.8540481,11.470269,708
sent,-0.9669498,10.82094,708
acquit,-1.3022965,10.847167,707
jerry,-0.6041109,13.128805,707
comes,-1.0140669,10.1368065,706
interview,-0.710287,12.231646,703
retweet,-1.6002964,12.491358,703
lead,-0.73287886,12.894073,702
soleimani,-0.4619331,11.511765,700
bernie,-0.6559394,12.71699,697
barbmcquade,-3.5543118,13.078077,696
senategop,-2.1314373,12.383986,692
anti,-0.32251707,12.101798,692
tr,-2.1284657,11.172595,692
hasn,-2.4162219,11.434285,691
serious,-1.3509967,11.262548,691
resolution,-1.0003967,11.735904,689
behind,-1.3531854,11.5271,688
attack,-0.5311656,11.831306,686
gave,-1.4405382,10.981961,685
course,-2.2550411,11.341673,685
scam,-1.4190834,12.802177,685
nixon,-0.7246741,12.058085,683
statement,-0.6730894,12.527308,682
approval,-0.85081786,12.138697,675
despite,-1.1051993,11.938333,675
tv,-1.1623999,11.977488,674
trade,-0.5642114,11.5262375,668
telling,-1.7162129,11.774964,667
impe,-1.2220634,10.753045,666
demand,-1.420431,11.041058,663
turn,-1.6748316,10.627268,663
block,-1.1461809,11.022045,662
abused,-1.0366611,11.024625,662
ahead,-0.82216537,12.337197,662
response,-1.2791033,12.483137,659
administration,-0.49735978,11.544019,659
officials,-0.46927303,12.006445,659
repswalwell,-2.8659794,12.277197,653
name,-1.4969889,11.409625,653
understand,-2.0668843,11.525914,652
lt,-0.2389034,12.046649,652
line,-0.852916,12.842292,650
malmet,-3.493523,13.079885,649
